净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态
2021-10-11,1.2586,2.5172,-0.49,场内买入,场内卖出
2021-10-12,1.2613,2.5226,0.21,场内买入,场内卖出
2021-10-13,1.31,2.62,3.86,场内买入,场内卖出
2021-10-14,1.3053,2.6106,-0.36,场内买入,场内卖出
2021-10-15,1.295,2.59,-0.79,场内买入,场内卖出
2021-10-18,1.2079,2.4158,-6.73,场内买入,场内卖出
2021-10-19,1.2343,2.4686,2.19,场内买入,场内卖出
2021-10-20,1.2406,2.4812,0.51,场内买入,场内卖出
2021-10-21,1.2447,2.4894,0.33,场内买入,场内卖出
2021-10-22,1.2583,2.5166,1.09,场内买入,场内卖出
2021-10-25,1.2494,2.4988,-0.71,场内买入,场内卖出
2021-10-26,1.255,2.51,0.45,场内买入,场内卖出
2021-10-27,1.2239,2.4478,-2.48,场内买入,场内卖出
2021-10-28,1.2326,2.4652,0.71,场内买入,场内卖出
2021-10-29,1.2458,2.4916,1.07,场内买入,场内卖出
2021-11-01,1.2353,2.4706,-0.84,场内买入,场内卖出
2021-11-02,1.2201,2.4402,-1.23,场内买入,场内卖出
2021-11-03,1.2088,2.4176,-0.93,场内买入,场内卖出
2021-11-04,1.2527,2.5054,3.63,场内买入,场内卖出
2021-11-05,1.255,2.51,0.18,场内买入,场内卖出
2021-11-08,1.2514,2.5028,-0.29,场内买入,场内卖出
2021-11-09,1.2388,2.4776,-1.01,场内买入,场内卖出
2021-11-10,1.2149,2.4298,-1.93,场内买入,场内卖出
2021-11-11,1.216,2.432,0.09,场内买入,场内卖出
2021-11-12,1.2027,2.4054,-1.09,场内买入,场内卖出
2021-11-15,1.2083,2.4166,0.47,场内买入,场内卖出
2021-11-16,1.2502,2.5004,3.47,场内买入,场内卖出
2021-11-17,1.242,2.484,-0.66,场内买入,场内卖出
2021-11-18,1.2429,2.4858,0.07,场内买入,场内卖出
2021-11-19,1.2594,2.5188,1.33,场内买入,场内卖出
2021-11-22,1.2662,2.5324,0.54,场内买入,场内卖出
2021-11-23,1.2681,2.5362,0.15,场内买入,场内卖出
2021-11-24,1.2995,2.599,2.48,场内买入,场内卖出
2021-11-25,1.2937,2.5874,-0.45,场内买入,场内卖出
2021-11-26,1.2882,2.5764,-0.43,场内买入,场内卖出
2021-11-29,1.295,2.59,0.53,场内买入,场内卖出
2021-11-30,1.2692,2.5384,-1.99,场内买入,场内卖出
2021-12-01,1.2771,2.5542,0.62,场内买入,场内卖出
2021-12-02,1.2877,2.5754,0.83,场内买入,场内卖出
2021-12-03,1.3245,2.649,2.86,场内买入,场内卖出
2021-12-06,1.3204,2.6408,-0.31,场内买入,场内卖出
2021-12-07,1.3224,2.6448,0.15,场内买入,场内卖出
2021-12-08,1.3702,2.7404,3.61,场内买入,场内卖出
2021-12-09,1.3942,2.7884,1.75,场内买入,场内卖出
2021-12-10,1.3932,2.7864,-0.07,场内买入,场内卖出
2021-12-13,1.4021,2.8042,0.64,场内买入,场内卖出
2021-12-14,1.4121,2.8242,0.71,场内买入,场内卖出
2021-12-15,1.393,2.786,-1.35,场内买入,场内卖出
2021-12-16,1.3736,2.7472,-1.39,场内买入,场内卖出
2021-12-17,1.3374,2.6748,-2.64,场内买入,场内卖出
2021-12-20,1.3388,2.6776,0.1,场内买入,场内卖出
2021-12-21,1.3321,2.6642,-0.5,场内买入,场内卖出
2021-12-22,1.3372,2.6744,0.38,场内买入,场内卖出
2021-12-23,1.3653,2.7306,2.1,场内买入,场内卖出
2021-12-24,1.3751,2.7502,0.72,场内买入,场内卖出
2021-12-27,1.3613,2.7226,-1.0,场内买入,场内卖出
2021-12-28,1.3768,2.7536,1.14,场内买入,场内卖出
2021-12-29,1.3125,2.625,-4.67,场内买入,场内卖出
2021-12-30,1.3225,2.645,0.76,场内买入,场内卖出
2021-12-31,0.9571,2.6142,-1.16,场内买入,场内卖出
2022-01-04,0.9526,2.6052,-0.47,场内买入,场内卖出
2022-01-05,0.9442,2.5884,-0.88,场内买入,场内卖出
2022-01-06,0.9314,2.5628,-1.36,场内买入,场内卖出
2022-01-07,0.9113,2.5226,-2.16,场内买入,场内卖出
2022-01-10,0.9065,2.513,-0.53,场内买入,场内卖出
2022-01-11,0.8938,2.4876,-1.4,场内买入,场内卖出
2022-01-12,0.9007,2.5014,0.77,场内买入,场内卖出
2022-01-13,0.8709,2.4418,-3.31,场内买入,场内卖出
2022-01-14,0.8649,2.4298,-0.69,场内买入,场内卖出
2022-01-17,0.8684,2.4368,0.4,场内买入,场内卖出
2022-01-18,0.8828,2.4656,1.66,场内买入,场内卖出
2022-01-19,0.8733,2.4466,-1.08,场内买入,场内卖出
2022-01-20,0.8887,2.4774,1.76,场内买入,场内卖出
2022-01-21,0.9008,2.5016,1.36,场内买入,场内卖出
2022-01-24,0.8942,2.4884,-0.73,场内买入,场内卖出
2022-01-25,0.8721,2.4442,-2.47,场内买入,场内卖出
2022-01-26,0.8803,2.4606,0.94,场内买入,场内卖出
2022-01-27,0.8686,2.4372,-1.33,场内买入,场内卖出
2022-01-28,0.8438,2.3876,-2.86,场内买入,场内卖出
2022-02-07,0.8424,2.3848,-0.17,场内买入,场内卖出
2022-02-08,0.8227,2.3454,-2.34,场内买入,场内卖出
2022-02-09,0.8574,2.4148,4.22,场内买入,场内卖出
2022-02-10,0.852,2.404,-0.63,场内买入,场内卖出
2022-02-11,0.8531,2.4062,0.13,场内买入,场内卖出
2022-02-14,0.8659,2.4318,1.5,场内买入,场内卖出
2022-02-15,0.8804,2.4608,1.67,场内买入,场内卖出
2022-02-16,0.886,2.472,0.64,场内买入,场内卖出
2022-02-17,0.8815,2.463,-0.51,场内买入,场内卖出
2022-02-18,0.8879,2.4758,0.73,场内买入,场内卖出
2022-02-21,0.8864,2.4728,-0.17,场内买入,场内卖出
2022-02-22,0.8679,2.4358,-2.09,场内买入,场内卖出
2022-02-23,0.8753,2.4506,0.85,场内买入,场内卖出
2022-02-24,0.844,2.388,-3.58,场内买入,场内卖出
2022-02-25,0.8525,2.405,1.01,场内买入,场内卖出
2022-02-28,0.855,2.41,0.29,场内买入,场内卖出
2022-03-01,0.8786,2.4572,2.76,场内买入,场内卖出
2022-03-02,0.8685,2.437,-1.15,场内买入,场内卖出
2022-03-03,0.8417,2.3834,-3.09,场内买入,场内卖出
2022-03-04,0.8312,2.3624,-1.25,场内买入,场内卖出
2022-03-07,0.7937,2.2874,-4.51,场内买入,场内卖出
2022-03-08,0.793,2.286,-0.09,场内买入,场内卖出
2022-03-09,0.7926,2.2852,-0.05,场内买入,场内卖出
2022-03-10,0.8249,2.3498,4.08,场内买入,场内卖出
2022-03-11,0.8216,2.3432,-0.4,场内买入,场内卖出
2022-03-14,0.7788,2.2576,-5.21,场内买入,场内卖出
2022-03-15,0.7405,2.181,-4.92,场内买入,场内卖出
2022-03-16,0.7627,2.2254,3.0,场内买入,场内卖出
2022-03-17,0.7853,2.2706,2.96,场内买入,场内卖出
2022-03-18,0.7823,2.2646,-0.38,场内买入,场内卖出
2022-03-21,0.7815,2.263,-0.1,场内买入,场内卖出
2022-03-22,0.7722,2.2444,-1.19,场内买入,场内卖出
2022-03-23,0.7843,2.2686,1.57,场内买入,场内卖出
2022-03-24,0.7648,2.2296,-2.49,场内买入,场内卖出
2022-03-25,0.7428,2.1856,-2.88,场内买入,场内卖出
2022-03-28,0.7199,2.1398,-3.08,场内买入,场内卖出
2022-03-29,0.713,2.126,-0.96,场内买入,场内卖出
2022-03-30,0.7418,2.1836,4.04,场内买入,场内卖出
2022-03-31,0.7372,2.1744,-0.62,场内买入,场内卖出
2022-04-01,0.7561,2.2122,2.56,场内买入,场内卖出
2022-04-06,0.7473,2.1946,-1.16,场内买入,场内卖出
2022-04-07,0.7469,2.1938,-0.05,场内买入,场内卖出
2022-04-08,0.7432,2.1864,-0.5,场内买入,场内卖出
2022-04-11,0.7111,2.1222,-4.32,场内买入,场内卖出
2022-04-12,0.7542,2.2084,6.06,场内买入,场内卖出
2022-04-13,0.7538,2.2076,-0.05,场内买入,场内卖出
2022-04-14,0.7911,2.2822,4.95,场内买入,场内卖出
2022-04-15,0.7842,2.2684,-0.87,场内买入,场内卖出
2022-04-18,0.7817,2.2634,-0.32,场内买入,场内卖出
2022-04-19,0.774,2.248,-0.99,场内买入,场内卖出
2022-04-20,0.7813,2.2626,0.94,场内买入,场内卖出
2022-04-21,0.7684,2.2368,-1.65,场内买入,场内卖出
2022-04-22,0.7715,2.243,0.4,场内买入,场内卖出
2022-04-25,0.7298,2.1596,-5.41,场内买入,场内卖出
2022-04-26,0.7422,2.1844,1.7,场内买入,场内卖出
2022-04-27,0.7596,2.2192,2.34,场内买入,场内卖出
2022-04-28,0.7772,2.2544,2.32,场内买入,场内卖出
2022-04-29,0.7821,2.2642,0.63,场内买入,场内卖出
2022-05-05,0.7839,2.2678,0.23,场内买入,场内卖出
2022-05-06,0.7517,2.2034,-4.11,场内买入,场内卖出
2022-05-09,0.7377,2.1754,-1.86,场内买入,场内卖出
2022-05-10,0.7502,2.2004,1.69,场内买入,场内卖出
2022-05-11,0.762,2.224,1.57,场内买入,场内卖出
2022-05-12,0.7697,2.2394,1.01,场内买入,场内卖出
2022-05-13,0.7672,2.2344,-0.32,场内买入,场内卖出
2022-05-16,0.7621,2.2242,-0.66,场内买入,场内卖出
2022-05-17,0.768,2.236,0.77,场内买入,场内卖出
2022-05-18,0.7607,2.2214,-0.95,场内买入,场内卖出
2022-05-19,0.753,2.206,-1.01,场内买入,场内卖出
2022-05-20,0.7843,2.2686,4.16,场内买入,场内卖出
2022-05-23,0.7736,2.2472,-1.36,场内买入,场内卖出
2022-05-24,0.757,2.214,-2.15,场内买入,场内卖出
2022-05-25,0.755,2.21,-0.26,场内买入,场内卖出
2022-05-26,0.7575,2.215,0.33,场内买入,场内卖出
2022-05-27,0.7596,2.2192,0.28,场内买入,场内卖出
2022-05-30,0.7876,2.2752,3.69,场内买入,场内卖出
2022-05-31,0.8129,2.3258,3.21,场内买入,场内卖出
2022-06-01,0.8086,2.3172,-0.53,场内买入,场内卖出
2022-06-02,0.8021,2.3042,-0.8,场内买入,场内卖出
2022-06-06,0.8134,2.3268,1.41,场内买入,场内卖出
2022-06-07,0.8268,2.3536,1.65,场内买入,场内卖出
2022-06-08,0.8412,2.3824,1.74,场内买入,场内卖出
2022-06-09,0.8264,2.3528,-1.76,场内买入,场内卖出
2022-06-10,0.8374,2.3748,1.33,场内买入,场内卖出
2022-06-13,0.8206,2.3412,-2.01,场内买入,场内卖出
2022-06-14,0.8298,2.3596,1.12,场内买入,场内卖出
2022-06-15,0.8406,2.3812,1.3,场内买入,场内卖出
2022-06-16,0.8378,2.3756,-0.33,场内买入,场内卖出
2022-06-17,0.8579,2.4158,2.4,场内买入,场内卖出
2022-06-20,0.8746,2.4492,1.95,场内买入,场内卖出
2022-06-21,0.8708,2.4416,-0.43,场内买入,场内卖出
2022-06-22,0.8587,2.4174,-1.39,场内买入,场内卖出
2022-06-23,0.8662,2.4324,0.87,场内买入,场内卖出
2022-06-24,0.8805,2.461,1.65,场内买入,场内卖出
2022-06-27,0.9016,2.5032,2.4,场内买入,场内卖出
2022-06-28,0.9066,2.5132,0.55,场内买入,场内卖出
2022-06-29,0.8976,2.4952,-0.99,场内买入,场内卖出
2022-06-30,0.9328,2.5656,3.92,场内买入,场内卖出
2022-07-01,0.9254,2.5508,-0.79,场内买入,场内卖出
2022-07-04,0.9209,2.5418,-0.49,场内买入,场内卖出
2022-07-05,0.9139,2.5278,-0.76,场内买入,场内卖出
2022-07-06,0.889,2.478,-2.72,场内买入,场内卖出
2022-07-07,0.8861,2.4722,-0.33,场内买入,场内卖出
2022-07-08,0.892,2.484,0.67,场内买入,场内卖出
2022-07-11,0.8721,2.4442,-2.23,场内买入,场内卖出
2022-07-12,0.8645,2.429,-0.87,场内买入,场内卖出
2022-07-13,0.8693,2.4386,0.56,场内买入,场内卖出
2022-07-14,0.863,2.426,-0.72,场内买入,场内卖出
2022-07-15,0.8651,2.4302,0.24,场内买入,场内卖出
2022-07-18,0.8599,2.4198,-0.6,场内买入,场内卖出
2022-07-19,0.8619,2.4238,0.23,场内买入,场内卖出
2022-07-20,0.8672,2.4344,0.61,场内买入,场内卖出
2022-07-21,0.8575,2.415,-1.12,场内买入,场内卖出
2022-07-22,0.854,2.408,-0.41,场内买入,场内卖出
2022-07-25,0.8625,2.425,1.0,场内买入,场内卖出
2022-07-26,0.8713,2.4426,1.02,场内买入,场内卖出
2022-07-27,0.8564,2.4128,-1.71,场内买入,场内卖出
2022-07-28,0.8521,2.4042,-0.5,场内买入,场内卖出
2022-07-29,0.8264,2.3528,-3.02,场内买入,场内卖出
2022-08-01,0.8393,2.3786,1.56,场内买入,场内卖出
2022-08-02,0.8259,2.3518,-1.6,场内买入,场内卖出
2022-08-03,0.8233,2.3466,-0.31,场内买入,场内卖出
2022-08-04,0.8394,2.3788,1.96,场内买入,场内卖出
2022-08-05,0.8431,2.3862,0.44,场内买入,场内卖出
2022-08-08,0.8378,2.3756,-0.63,场内买入,场内卖出
2022-08-09,0.8377,2.3754,-0.01,场内买入,场内卖出
2022-08-10,0.8258,2.3516,-1.42,场内买入,场内卖出
2022-08-11,0.8395,2.379,1.66,场内买入,场内卖出
2022-08-12,0.8486,2.3972,1.08,场内买入,场内卖出
2022-08-15,0.8403,2.3806,-0.98,场内买入,场内卖出
2022-08-16,0.8348,2.3696,-0.65,场内买入,场内卖出
2022-08-17,0.8414,2.3828,0.79,场内买入,场内卖出
2022-08-18,0.8272,2.3544,-1.69,场内买入,场内卖出
2022-08-19,0.8246,2.3492,-0.31,场内买入,场内卖出
2022-08-22,0.8272,2.3544,0.32,场内买入,场内卖出
2022-08-23,0.8142,2.3284,-1.57,场内买入,场内卖出
2022-08-24,0.8082,2.3164,-0.74,场内买入,场内卖出
2022-08-25,0.826,2.352,2.2,场内买入,场内卖出
2022-08-26,0.8378,2.3756,1.43,场内买入,场内卖出
2022-08-29,0.8272,2.3544,-1.27,场内买入,场内卖出
2022-08-30,0.8234,2.3468,-0.46,场内买入,场内卖出
2022-08-31,0.8402,2.3804,2.04,场内买入,场内卖出
2022-09-01,0.8256,2.3512,-1.74,场内买入,场内卖出
2022-09-02,0.8122,2.3244,-1.62,场内买入,场内卖出
2022-09-05,0.7949,2.2898,-2.13,场内买入,场内卖出
2022-09-06,0.7998,2.2996,0.62,场内买入,场内卖出
2022-09-07,0.7894,2.2788,-1.3,场内买入,场内卖出
2022-09-08,0.7915,2.283,0.27,场内买入,场内卖出
2022-09-09,0.8007,2.3014,1.16,场内买入,场内卖出
2022-09-13,0.8127,2.3254,1.5,场内买入,场内卖出
2022-09-14,0.8045,2.309,-1.01,场内买入,场内卖出
2022-09-15,0.8097,2.3194,0.65,场内买入,场内卖出
2022-09-16,0.7906,2.2812,-2.36,场内买入,场内卖出
2022-09-19,0.8002,2.3004,1.21,场内买入,场内卖出
2022-09-20,0.813,2.326,1.6,场内买入,场内卖出
2022-09-21,0.8038,2.3076,-1.13,场内买入,场内卖出
2022-09-22,0.7918,2.2836,-1.49,场内买入,场内卖出
2022-09-23,0.7961,2.2922,0.54,场内买入,场内卖出
2022-09-26,0.8086,2.3172,1.57,场内买入,场内卖出
2022-09-27,0.8368,2.3736,3.49,场内买入,场内卖出
2022-09-28,0.8308,2.3616,-0.72,场内买入,场内卖出
2022-09-29,0.8279,2.3558,-0.35,场内买入,场内卖出
2022-09-30,0.8246,2.3492,-0.4,场内买入,场内卖出
2022-10-10,0.7804,2.2608,-5.36,场内买入,场内卖出
2022-10-11,0.7818,2.2636,0.18,场内买入,场内卖出
2022-10-12,0.7767,2.2534,-0.65,场内买入,场内卖出
2022-10-13,0.7647,2.2294,-1.54,场内买入,场内卖出
2022-10-14,0.7825,2.265,2.33,场内买入,场内卖出
2022-10-17,0.7709,2.2418,-1.48,场内买入,场内卖出
2022-10-18,0.7658,2.2316,-0.66,场内买入,场内卖出
2022-10-19,0.7417,2.1834,-3.15,场内买入,场内卖出
2022-10-20,0.7487,2.1974,0.94,场内买入,场内卖出
2022-10-21,0.7378,2.1756,-1.46,场内买入,场内卖出
2022-10-24,0.6943,2.0886,-5.9,场内买入,场内卖出
2022-10-25,0.6932,2.0864,-0.16,场内买入,场内卖出
2022-10-26,0.694,2.088,0.12,场内买入,场内卖出
2022-10-27,0.663,2.026,-4.47,场内买入,场内卖出
2022-10-28,0.6581,2.0162,-0.74,场内买入,场内卖出
2022-10-31,0.6499,1.9998,-1.25,场内买入,场内卖出
2022-11-01,0.6943,2.0886,6.83,场内买入,场内卖出
2022-11-02,0.7102,2.1204,2.29,场内买入,场内卖出
2022-11-03,0.701,2.102,-1.3,场内买入,场内卖出
2022-11-04,0.7374,2.1748,5.19,场内买入,场内卖出
2022-11-07,0.7394,2.1788,0.27,场内买入,场内卖出
2022-11-08,0.7281,2.1562,-1.53,场内买入,场内卖出
2022-11-09,0.7173,2.1346,-1.48,场内买入,场内卖出
2022-11-10,0.7258,2.1516,1.18,场内买入,场内卖出
2022-11-11,0.7464,2.1928,2.84,场内买入,场内卖出
2022-11-14,0.7395,2.179,-0.92,场内买入,场内卖出
2022-11-15,0.7579,2.2158,2.49,场内买入,场内卖出
2022-11-16,0.7605,2.221,0.34,场内买入,场内卖出
2022-11-17,0.7519,2.2038,-1.13,场内买入,场内卖出
2022-11-18,0.7546,2.2092,0.36,场内买入,场内卖出
2022-11-21,0.7337,2.1674,-2.77,场内买入,场内卖出
2022-11-22,0.737,2.174,0.45,场内买入,场内卖出
2022-11-23,0.7328,2.1656,-0.57,场内买入,场内卖出
2022-11-24,0.7241,2.1482,-1.19,场内买入,场内卖出
2022-11-25,0.7233,2.1466,-0.11,场内买入,场内卖出
2022-11-28,0.7242,2.1484,0.12,场内买入,场内卖出
2022-11-29,0.7568,2.2136,4.5,场内买入,场内卖出
2022-11-30,0.7542,2.2084,-0.34,场内买入,场内卖出
2022-12-01,0.7798,2.2596,3.39,场内买入,场内卖出
2022-12-02,0.7798,2.2596,0.0,场内买入,场内卖出
2022-12-05,0.7939,2.2878,1.81,场内买入,场内卖出
2022-12-06,0.8178,2.3356,3.01,场内买入,场内卖出
2022-12-07,0.8176,2.3352,-0.02,场内买入,场内卖出
2022-12-08,0.8213,2.3426,0.45,场内买入,场内卖出
2022-12-09,0.8479,2.3958,3.24,场内买入,场内卖出
2022-12-12,0.835,2.37,-1.52,场内买入,场内卖出
2022-12-13,0.8459,2.3918,1.31,场内买入,场内卖出
2022-12-14,0.8688,2.4376,2.71,场内买入,场内卖出
2022-12-15,0.8597,2.4194,-1.05,场内买入,场内卖出
2022-12-16,0.8648,2.4296,0.59,场内买入,场内卖出
2022-12-19,0.8532,2.4064,-1.34,场内买入,场内卖出
2022-12-20,0.8208,2.3416,-3.8,场内买入,场内卖出
2022-12-21,0.8316,2.3632,1.32,场内买入,场内卖出
2022-12-22,0.8502,2.4004,2.24,场内买入,场内卖出
2022-12-23,0.8571,2.4142,0.81,场内买入,场内卖出
2022-12-26,0.8464,2.3928,-1.25,场内买入,场内卖出
2022-12-27,0.859,2.418,1.49,场内买入,场内卖出
2022-12-28,0.8556,2.4112,-0.4,场内买入,场内卖出
2022-12-29,0.8461,2.3922,-1.11,场内买入,场内卖出
2022-12-30,0.852,2.404,0.7,场内买入,场内卖出
2022-12-31,0.852,2.404,,场内买入,场内卖出
2023-01-03,0.8369,2.3738,-1.77,场内买入,场内卖出
2023-01-04,0.8391,2.3782,0.26,场内买入,场内卖出
2023-01-05,0.8793,2.4586,4.79,场内买入,场内卖出
2023-01-06,0.8783,2.4566,-0.11,场内买入,场内卖出
2023-01-09,0.9016,2.5032,2.65,场内买入,场内卖出
2023-01-10,0.9062,2.5124,0.51,场内买入,场内卖出
2023-01-11,0.9004,2.5008,-0.64,场内买入,场内卖出
2023-01-12,0.8938,2.4876,-0.73,场内买入,场内卖出
2023-01-13,0.9199,2.5398,2.92,场内买入,场内卖出
2023-01-16,0.9382,2.5764,1.99,场内买入,场内卖出
2023-01-17,0.9245,2.549,-1.46,场内买入,场内卖出
2023-01-18,0.9168,2.5336,-0.83,场内买入,场内卖出
2023-01-19,0.9132,2.5264,-0.39,场内买入,场内卖出
2023-01-20,0.91,2.52,-0.35,场内买入,场内卖出
2023-01-30,0.9254,2.5508,1.69,场内买入,场内卖出
2023-01-31,0.8981,2.4962,-2.95,场内买入,场内卖出
2023-02-01,0.9042,2.5084,0.68,场内买入,场内卖出
2023-02-02,0.9141,2.5282,1.09,场内买入,场内卖出
2023-02-03,0.9064,2.5128,-0.84,场内买入,场内卖出
2023-02-06,0.8908,2.4816,-1.72,场内买入,场内卖出
2023-02-07,0.8891,2.4782,-0.19,场内买入,场内卖出
2023-02-08,0.8828,2.4656,-0.71,场内买入,场内卖出
2023-02-09,0.9112,2.5224,3.22,场内买入,场内卖出
2023-02-10,0.916,2.532,0.53,场内买入,场内卖出
2023-02-13,0.9496,2.5992,3.67,场内买入,场内卖出
2023-02-14,0.9445,2.589,-0.54,场内买入,场内卖出
2023-02-15,0.9448,2.5896,0.03,场内买入,场内卖出
2023-02-16,0.9512,2.6024,0.68,场内买入,场内卖出
2023-02-17,0.9405,2.581,-1.12,场内买入,场内卖出
2023-02-20,0.9589,2.6178,1.96,场内买入,场内卖出
2023-02-21,0.9465,2.593,-1.29,场内买入,场内卖出
2023-02-22,0.9444,2.5888,-0.22,场内买入,场内卖出
2023-02-23,0.9349,2.5698,-1.01,场内买入,场内卖出
2023-02-24,0.9205,2.541,-1.54,场内买入,场内卖出
2023-02-27,0.9312,2.5624,1.16,场内买入,场内卖出
2023-02-28,0.9314,2.5628,0.02,场内买入,场内卖出
2023-03-01,0.94,2.58,0.92,场内买入,场内卖出
2023-03-02,0.9383,2.5766,-0.18,场内买入,场内卖出
2023-03-03,0.932,2.564,-0.67,场内买入,场内卖出
2023-03-06,0.9308,2.5616,-0.13,场内买入,场内卖出
2023-03-07,0.9146,2.5292,-1.74,场内买入,场内卖出
2023-03-08,0.9077,2.5154,-0.75,场内买入,场内卖出
2023-03-09,0.9011,2.5022,-0.73,场内买入,场内卖出
2023-03-10,0.8879,2.4758,-1.46,场内买入,场内卖出
2023-03-13,0.9054,2.5108,1.97,场内买入,场内卖出
2023-03-14,0.8956,2.4912,-1.08,场内买入,场内卖出
2023-03-15,0.8834,2.4668,-1.36,场内买入,场内卖出
2023-03-16,0.8831,2.4662,-0.03,场内买入,场内卖出
2023-03-17,0.8686,2.4372,-1.64,场内买入,场内卖出
2023-03-20,0.8587,2.4174,-1.14,场内买入,场内卖出
2023-03-21,0.8843,2.4686,2.98,场内买入,场内卖出
2023-03-22,0.8817,2.4634,-0.29,场内买入,场内卖出
2023-03-23,0.8927,2.4854,1.25,场内买入,场内卖出
2023-03-24,0.8936,2.4872,0.1,场内买入,场内卖出
2023-03-27,0.8848,2.4696,-0.98,场内买入,场内卖出
2023-03-28,0.9027,2.5054,2.02,场内买入,场内卖出
2023-03-29,0.9116,2.5232,0.99,场内买入,场内卖出
2023-03-30,0.9222,2.5444,1.16,场内买入,场内卖出
2023-03-31,0.9199,2.5398,-0.25,场内买入,场内卖出
2023-04-03,0.9155,2.531,-0.48,场内买入,场内卖出
2023-04-04,0.9248,2.5496,1.02,场内买入,场内卖出
2023-04-06,0.9052,2.5104,-2.12,场内买入,场内卖出
2023-04-07,0.8983,2.4966,-0.76,场内买入,场内卖出
2023-04-10,0.8865,2.473,-1.31,场内买入,场内卖出
2023-04-11,0.8677,2.4354,-2.12,场内买入,场内卖出
2023-04-12,0.8459,2.3918,-2.51,场内买入,场内卖出
2023-04-13,0.8546,2.4092,1.03,场内买入,场内卖出
2023-04-14,0.8428,2.3856,-1.38,场内买入,场内卖出
2023-04-17,0.856,2.412,1.57,场内买入,场内卖出
2023-04-18,0.8574,2.4148,0.16,场内买入,场内卖出
2023-04-19,0.8517,2.4034,-0.66,场内买入,场内卖出
2023-04-20,0.8399,2.3798,-1.39,场内买入,场内卖出
2023-04-21,0.8334,2.3668,-0.77,场内买入,场内卖出
2023-04-24,0.8185,2.337,-1.79,场内买入,场内卖出
2023-04-25,0.8313,2.3626,1.56,场内买入,场内卖出
2023-04-26,0.8325,2.365,0.14,场内买入,场内卖出
2023-04-27,0.8335,2.367,0.12,场内买入,场内卖出
2023-04-28,0.8391,2.3782,0.67,场内买入,场内卖出
2023-05-04,0.8295,2.359,-1.14,场内买入,场内卖出
2023-05-05,0.8383,2.3766,1.06,场内买入,场内卖出
2023-05-08,0.8254,2.3508,-1.54,场内买入,场内卖出
2023-05-09,0.8272,2.3544,0.22,场内买入,场内卖出
2023-05-10,0.8196,2.3392,-0.92,场内买入,场内卖出
2023-05-11,0.8156,2.3312,-0.49,场内买入,场内卖出
2023-05-12,0.8046,2.3092,-1.35,场内买入,场内卖出
2023-05-15,0.8136,2.3272,1.12,场内买入,场内卖出
